District,BEDSCODE,COUNTY_DESC
JEFFERSON CSD,540901,SCHOHARIE
JERICHO UFSD,280515,NASSAU
JOHNSBURG CSD,630601,WARREN
JOHNSON CITY CSD,315020,BROOME
JOHNSTOWN CITY SD,170600,FULTON
JORDAN-ELBRIDGE CSD,420501,ONONDAGA
KATONAH-LEWISBORO UFSD,660101,WESTCHESTER
KEENE CSD,150601,ESSEX
KENDALL CSD,450607,ORLEANS
KENMORE-TONAWANDA UFSD,142601,ERIE
KINDERHOOK CSD,101401,COLUMBIA
KINGS PARK CSD,580805,SUFFOLK
KINGSTON CITY SD,620600,ULSTER
KIRYAS JOEL VILLAGE UFSD,441202,ORANGE
LA FARGEVILLE CSD,221401,JEFFERSON
LACKAWANNA CITY SD,141800,ERIE
LAFAYETTE CSD,420807,ONONDAGA
LAKE GEORGE CSD,630701,WARREN
LAKE PLACID CSD,151102,ESSEX
LAKE PLEASANT CSD,200601,HAMILTON
LAKELAND CSD,662401,WESTCHESTER
LANCASTER CSD,141901,ERIE
LANSING CSD,610801,TOMPKINS
LANSINGBURGH CSD,490601,RENSSELAER
LAURENS CSD,470801,OTSEGO
LAWRENCE UFSD,280215,NASSAU
LE ROY CSD,181001,GENESEE
LETCHWORTH CSD,670401,WYOMING
LEVITTOWN UFSD,280205,NASSAU
LEWISTON-PORTER CSD,400301,NIAGARA
LIBERTY CSD,590901,SULLIVAN
LINDENHURST UFSD,580104,SUFFOLK
LISBON CSD,511602,SAINT LAWRENCE
LITTLE FALLS CITY SD,210800,HERKIMER
LITTLE FLOWER UFSD,580603,SUFFOLK
LIVERPOOL CSD,421501,ONONDAGA
LIVINGSTON MANOR CSD,591302,SULLIVAN
LIVONIA CSD,240801,LIVINGSTON
LOCKPORT CITY SD,400400,NIAGARA
LOCUST VALLEY CSD,280503,NASSAU
LONG BEACH CITY SD,280300,NASSAU
LONG LAKE CSD,200701,HAMILTON
LONGWOOD CSD,580212,SUFFOLK
LOWVILLE ACADEMY & CSD,230901,LEWIS
LYME CSD,221301,JEFFERSON
LYNBROOK UFSD,280220,NASSAU
LYNCOURT UFSD,421504,ONONDAGA
LYNDONVILLE CSD,451001,ORLEANS
LYONS CSD,650501,WAYNE
MADISON CSD,251101,MADISON
MADRID-WADDINGTON CSD,511901,SAINT LAWRENCE
MAHOPAC CSD,480101,PUTNAM
MAINE-ENDWELL CSD,311010,BROOME
MALONE CSD,161501,FRANKLIN
MALVERNE UFSD,280212,NASSAU
MAMARONECK UFSD,660701,WESTCHESTER
MANCHESTER-SHORTSVILLE CSD (RED JACK,431101,ONTARIO
MANHASSET UFSD,280406,NASSAU
MARATHON CSD,110901,CORTLAND
MARCELLUS CSD,421101,ONONDAGA
MARGARETVILLE CSD,121401,DELAWARE
MARION CSD,650701,WAYNE
MARLBORO CSD,621001,ULSTER
MASSAPEQUA UFSD,280523,NASSAU
MASSENA CSD,512001,SAINT LAWRENCE
MATTITUCK-CUTCHOGUE UFSD,581012,SUFFOLK
MAYFIELD CSD,170801,FULTON
MCGRAW CSD,110304,CORTLAND
MECHANICVILLE CITY SD,521200,SARATOGA
MEDINA CSD,450801,ORLEANS
MENANDS UFSD,106150,ALBANY
MERRICK UFSD,280225,NASSAU
MEXICO CSD,460901,OSWEGO
MIDDLE COUNTRY CSD,580211,SUFFOLK
MIDDLEBURGH CSD,541001,SCHOHARIE
MIDDLETOWN CITY SD,441000,ORANGE
MILFORD CSD,471101,OTSEGO
MILLBROOK CSD,132201,DUTCHESS
MILLER PLACE UFSD,580208,SUFFOLK
MINEOLA UFSD,280410,NASSAU
MINERVA CSD,150801,ESSEX
MINISINK VALLEY CSD,441101,ORANGE
MONROE-WOODBURY CSD,441201,ORANGE
MONTAUK UFSD,580306,SUFFOLK
MONTICELLO CSD,591401,SULLIVAN
MORAVIA CSD,513010,CAYUGA
MORIAH CSD,150901,ESSEX
MORRIS CSD,471201,OTSEGO
MORRISTOWN CSD,512101,SAINT LAWRENCE
MORRISVILLE-EATON CSD,250401,MADISON
MOUNT MARKHAM CSD,212001,HERKIMER
MT MORRIS CSD,240901,LIVINGSTON
MT PLEASANT CSD,660801,WESTCHESTER
MT PLEASANT-BLYTHEDALE UFSD,660806,WESTCHESTER
MT PLEASANT-COTTAGE UFSD,660804,WESTCHESTER
MT SINAI UFSD,580207,SUFFOLK
MT VERNON SCHOOL DISTRICT,660900,WESTCHESTER
NANUET UFSD,500108,ROCKLAND
NAPLES CSD,431201,ONTARIO
NEW HARTFORD CSD,411501,ONEIDA
NEW HYDE PARK-GARDEN CITY PARK UFSD,280405,NASSAU
NEW LEBANON CSD,101601,COLUMBIA
